period,dataset_role,total_tr_units,total_tr_usd,total_renewed_units,total_renewed_usd,is_current_month,flag_time_series,region,product,channel,dormant,softcancel,no_instalado,autorenew,discount,newcust
2024-01,train,420,12600.0,352.0,10688.707003654465,0,0,EU,A,web,0,0,0,0,d0,0
2024-01,train,180,3240.0,149.0,4042.1434191177054,0,0,EU,A,web,0,0,0,0,d40,1
2024-02,train,420,12600.0,342.0,10710.47621550284,0,0,EU,A,web,0,0,0,0,d0,0
2024-02,train,180,3240.0,154.0,4086.508027706321,0,0,EU,A,web,0,0,0,0,d40,1
2024-03,train,420,12600.0,347.0,10778.777239506679,0,0,EU,A,web,0,0,0,0,d0,0
2024-03,train,180,3240.0,152.0,3966.282908623901,0,0,EU,A,web,0,0,0,0,d40,1
2024-04,train,420,12600.0,366.0,11341.634409983268,0,0,EU,A,web,0,0,0,0,d0,0
2024-04,train,180,3240.0,148.0,4052.52467865401,0,0,EU,A,web,0,0,0,0,d40,1
2024-05,train,420,12600.0,360.0,10997.942306527448,0,0,EU,A,web,0,0,0,0,d0,0
2024-05,train,180,3240.0,146.0,3945.3523700548462,0,0,EU,A,web,0,0,0,0,d40,1
2024-06,train,420,12600.0,344.0,10654.234670903776,0,0,EU,A,web,0,0,0,0,d0,0
2024-06,train,180,3240.0,144.0,3825.8288633148654,0,0,EU,A,web,0,0,0,0,d40,1
2024-07,train,420,12600.0,330.0,10332.21623290465,0,0,EU,A,web,0,0,0,0,d0,0
2024-07,train,180,3240.0,141.0,3746.7380057663268,0,0,EU,A,web,0,0,0,0,d40,1
2024-08,train,420,12600.0,312.0,9855.185559795413,0,0,EU,A,web,0,0,0,0,d0,0
2024-08,train,180,3240.0,147.0,3963.8515758935387,0,0,EU,A,web,0,0,0,0,d40,1
2024-09,train,420,12600.0,310.0,9510.444883697408,0,0,EU,A,web,0,0,0,0,d0,0
2024-09,train,180,3240.0,141.0,3791.5851834866066,0,0,EU,A,web,0,0,0,0,d40,1
2024-10,train,420,12600.0,331.0,10139.80476911728,0,0,EU,A,web,0,0,0,0,d0,0
2024-10,train,180,3240.0,145.0,3949.889489414555,0,0,EU,A,web,0,0,0,0,d40,1
2024-11,train,420,12600.0,319.0,9968.759382590131,0,0,EU,A,web,0,0,0,0,d0,0
2024-11,train,180,3240.0,134.0,3519.815731696098,0,0,EU,A,web,0,0,0,0,d40,1
2024-12,train,420,12600.0,320.0,10318.993272285321,0,0,EU,A,web,0,0,0,0,d0,0
2024-12,train,180,3240.0,135.0,3634.991785949694,0,0,EU,A,web,0,0,0,0,d40,1
2025-01,train,420,12600.0,350.0,10798.371923090674,0,0,EU,A,web,0,0,0,0,d0,0
2025-01,train,180,3240.0,136.0,3629.994450877436,0,0,EU,A,web,0,0,0,0,d40,1
2025-02,train,420,12600.0,360.0,10996.337875783045,0,0,EU,A,web,0,0,0,0,d0,0
2025-02,train,180,3240.0,144.0,3906.809615189945,0,0,EU,A,web,0,0,0,0,d40,1
2025-03,train,420,12600.0,341.0,10691.728697645109,0,0,EU,A,web,0,0,0,0,d0,0
2025-03,train,180,3240.0,145.0,3834.7772161167845,0,0,EU,A,web,0,0,0,0,d40,1
2025-04,train,420,12600.0,364.0,11074.344065540454,0,0,EU,A,web,0,0,0,0,d0,0
2025-04,train,180,3240.0,158.0,4337.502102564074,0,0,EU,A,web,0,0,0,0,d40,1
2025-05,train,420,12600.0,335.0,10211.92489093172,0,0,EU,A,web,0,0,0,0,d0,0
2025-05,train,180,3240.0,148.0,3996.4240608045725,0,0,EU,A,web,0,0,0,0,d40,1
2025-06,train,420,12600.0,336.0,10219.739860991582,0,0,EU,A,web,0,0,0,0,d0,0
2025-06,train,180,3240.0,146.0,3886.596830522509,0,0,EU,A,web,0,0,0,0,d40,1
2025-07,train,420,12600.0,333.0,10248.037334719396,0,0,EU,A,web,0,0,0,0,d0,0
2025-07,train,180,3240.0,140.0,3752.819413585839,0,0,EU,A,web,0,0,0,0,d40,1
2025-08,train,420,12600.0,336.0,10441.202759841331,0,0,EU,A,web,0,0,0,0,d0,0
2025-08,train,180,3240.0,139.0,3745.421759845509,0,0,EU,A,web,0,0,0,0,d40,1
2025-09,train,420,12600.0,314.0,9774.681890439955,0,0,EU,A,web,0,0,0,0,d0,0
2025-09,train,180,3240.0,137.0,3746.6651726597734,0,0,EU,A,web,0,0,0,0,d40,1
2025-10,train,420,12600.0,320.0,10047.587414911677,0,0,EU,A,web,0,0,0,0,d0,0
2025-10,train,180,3240.0,139.0,3777.716361234699,0,0,EU,A,web,0,0,0,0,d40,1
2025-11,test,420,12600.0,308.0,9305.571307551412,0,0,EU,A,web,0,0,0,0,d0,0
2025-11,test,180,3240.0,126.0,3401.4372915709487,0,0,EU,A,web,0,0,0,0,d40,1
2025-12,test,420,12600.0,335.0,10403.619103087782,0,0,EU,A,web,0,0,0,0,d0,0
2025-12,test,180,3240.0,141.0,3798.540599769315,0,0,EU,A,web,0,0,0,0,d40,1
2026-01,test,420,12600.0,337.0,10400.885197333037,0,0,EU,A,web,0,0,0,0,d0,0
2026-01,test,180,3240.0,157.0,4182.534088101516,0,0,EU,A,web,0,0,0,0,d40,1
2026-02,test,420,12600.0,349.0,11208.168710652693,1,0,EU,A,web,0,0,0,0,d0,0
2026-02,test,180,3240.0,143.0,3837.309222520935,1,0,EU,A,web,0,0,0,0,d40,1
2026-03,projection,420,12600.0,,,0,0,EU,A,web,0,0,0,0,d0,0
2026-03,projection,180,3240.0,,,0,0,EU,A,web,0,0,0,0,d40,1
2026-04,projection,420,12600.0,,,0,0,EU,A,web,0,0,0,0,d0,0
2026-04,projection,180,3240.0,,,0,0,EU,A,web,0,0,0,0,d40,1
2026-05,projection,420,12600.0,,,0,0,EU,A,web,0,0,0,0,d0,0
2026-05,projection,180,3240.0,,,0,0,EU,A,web,0,0,0,0,d40,1
2026-06,projection,420,12600.0,,,0,0,EU,A,web,0,0,0,0,d0,0
2026-06,projection,180,3240.0,,,0,0,EU,A,web,0,0,0,0,d40,1
2024-01,train,210,6300.0,185.0,5725.497035115652,0,0,EU,B,web,0,0,0,0,d0,0
2024-01,train,90,1620.0,74.0,1997.4279708139613,0,0,EU,B,web,0,0,0,0,d40,1
2024-02,train,210,6300.0,176.0,5095.048103323566,0,0,EU,B,web,0,0,0,0,d0,0
2024-02,train,90,1620.0,81.0,2188.374016462768,0,0,EU,B,web,0,0,0,0,d40,1
2024-03,train,210,6300.0,169.0,5238.0833396126045,0,0,EU,B,web,0,0,0,0,d0,0
2024-03,train,90,1620.0,80.0,2161.105927532794,0,0,EU,B,web,0,0,0,0,d40,1
2024-04,train,210,6300.0,167.0,5055.804590569481,0,0,EU,B,web,0,0,0,0,d0,0
2024-04,train,90,1620.0,76.0,2081.927617692637,0,0,EU,B,web,0,0,0,0,d40,1
2024-05,train,210,6300.0,168.0,5338.409002139762,0,0,EU,B,web,0,0,0,0,d0,0
2024-05,train,90,1620.0,71.0,1926.6789603407706,0,0,EU,B,web,0,0,0,0,d40,1
2024-06,train,210,6300.0,170.0,5261.488170054402,0,0,EU,B,web,0,0,0,0,d0,0
2024-06,train,90,1620.0,76.0,2047.1228402338602,0,0,EU,B,web,0,0,0,0,d40,1
2024-07,train,210,6300.0,161.0,5122.5985017981975,0,0,EU,B,web,0,0,0,0,d0,0
2024-07,train,90,1620.0,72.0,1896.9097101060918,0,0,EU,B,web,0,0,0,0,d40,1
2024-08,train,210,6300.0,169.0,5289.92630246972,0,0,EU,B,web,0,0,0,0,d0,0
2024-08,train,90,1620.0,73.0,1964.3772668077752,0,0,EU,B,web,0,0,0,0,d40,1
2024-09,train,210,6300.0,177.0,5407.768564242911,0,0,EU,B,web,0,0,0,0,d0,0
2024-09,train,90,1620.0,68.0,1848.4037052074796,0,0,EU,B,web,0,0,0,0,d40,1
2024-10,train,210,6300.0,169.0,5182.296723170679,0,0,EU,B,web,0,0,0,0,d0,0
2024-10,train,90,1620.0,76.0,2054.9985019084297,0,0,EU,B,web,0,0,0,0,d40,1
2024-11,train,210,6300.0,167.0,5248.935420262773,0,0,EU,B,web,0,0,0,0,d0,0
2024-11,train,90,1620.0,75.0,1987.9146937863222,0,0,EU,B,web,0,0,0,0,d40,1
2024-12,train,210,6300.0,171.0,5222.178276532132,0,0,EU,B,web,0,0,0,0,d0,0
2024-12,train,90,1620.0,69.0,1838.3185699320816,0,0,EU,B,web,0,0,0,0,d40,1
2025-01,train,210,6300.0,169.0,5201.5283537190435,0,0,EU,B,web,0,0,0,0,d0,0
2025-01,train,90,1620.0,77.0,2044.4338190511046,0,0,EU,B,web,0,0,0,0,d40,1
2025-02,train,210,6300.0,157.0,4953.163883031013,0,0,EU,B,web,0,0,0,0,d0,0
2025-02,train,90,1620.0,68.0,1849.5470215417881,0,0,EU,B,web,0,0,0,0,d40,1
2025-03,train,210,6300.0,163.0,4904.354001864228,0,0,EU,B,web,0,0,0,0,d0,0
2025-03,train,90,1620.0,74.0,2023.563620960519,0,0,EU,B,web,0,0,0,0,d40,1
2025-04,train,210,6300.0,168.0,5220.660622715531,0,0,EU,B,web,0,0,0,0,d0,0
2025-04,train,90,1620.0,69.0,1870.371006150649,0,0,EU,B,web,0,0,0,0,d40,1
2025-05,train,210,6300.0,159.0,5091.581548775492,0,0,EU,B,web,0,0,0,0,d0,0
2025-05,train,90,1620.0,74.0,1953.0817998736388,0,0,EU,B,web,0,0,0,0,d40,1
2025-06,train,210,6300.0,145.0,4554.853614964783,0,0,EU,B,web,0,0,0,0,d0,0
2025-06,train,90,1620.0,69.0,1820.5233241231788,0,0,EU,B,web,0,0,0,0,d40,1
2025-07,train,210,6300.0,159.0,5128.487492793586,0,0,EU,B,web,0,0,0,0,d0,0
2025-07,train,90,1620.0,71.0,1887.0807028854497,0,0,EU,B,web,0,0,0,0,d40,1
2025-08,train,210,6300.0,147.0,4637.975061599144,0,0,EU,B,web,0,0,0,0,d0,0
2025-08,train,90,1620.0,71.0,1913.6243034465933,0,0,EU,B,web,0,0,0,0,d40,1
2025-09,train,210,6300.0,156.0,4802.500366193133,0,0,EU,B,web,0,0,0,0,d0,0
2025-09,train,90,1620.0,72.0,1899.0772057291833,0,0,EU,B,web,0,0,0,0,d40,1
2025-10,train,210,6300.0,144.0,4417.0207674853455,0,0,EU,B,web,0,0,0,0,d0,0
2025-10,train,90,1620.0,66.0,1753.1700403814502,0,0,EU,B,web,0,0,0,0,d40,1
2025-11,test,210,6300.0,148.0,4404.563361976214,0,0,EU,B,web,0,0,0,0,d0,0
2025-11,test,90,1620.0,66.0,1813.9178293876687,0,0,EU,B,web,0,0,0,0,d40,1
2025-12,test,210,6300.0,145.0,4701.212872601474,0,0,EU,B,web,0,0,0,0,d0,0
2025-12,test,90,1620.0,57.0,1525.7175588975329,0,0,EU,B,web,0,0,0,0,d40,1
2026-01,test,210,6300.0,148.0,4668.413805990193,0,0,EU,B,web,0,0,0,0,d0,0
2026-01,test,90,1620.0,58.0,1555.526648972632,0,0,EU,B,web,0,0,0,0,d40,1
2026-02,test,210,6300.0,153.0,4633.43152199569,1,0,EU,B,web,0,0,0,0,d0,0
2026-02,test,90,1620.0,57.0,1557.1165791083797,1,0,EU,B,web,0,0,0,0,d40,1
2026-03,projection,210,6300.0,,,0,0,EU,B,web,0,0,0,0,d0,0
2026-03,projection,90,1620.0,,,0,0,EU,B,web,0,0,0,0,d40,1
2026-04,projection,210,6300.0,,,0,0,EU,B,web,0,0,0,0,d0,0
2026-04,projection,90,1620.0,,,0,0,EU,B,web,0,0,0,0,d40,1
2026-05,projection,210,6300.0,,,0,0,EU,B,web,0,0,0,0,d0,0
2026-05,projection,90,1620.0,,,0,0,EU,B,web,0,0,0,0,d40,1
2026-06,projection,210,6300.0,,,0,0,EU,B,web,0,0,0,0,d0,0
2026-06,projection,90,1620.0,,,0,0,EU,B,web,0,0,0,0,d40,1
2024-01,train,12,360.0,8.0,244.0802102649538,0,0,EU,A,tele,0,0,0,0,d0,0
2024-02,train,12,360.0,9.0,275.30188367891043,0,0,EU,A,tele,0,0,0,0,d0,0
2024-03,train,12,360.0,9.0,280.1871107655795,0,0,EU,A,tele,0,0,0,0,d0,0
2024-04,train,12,360.0,11.0,343.7786552810132,0,0,EU,A,tele,0,0,0,0,d0,0
2024-05,train,12,360.0,9.0,277.84462586102825,0,0,EU,A,tele,0,0,0,0,d0,0
2024-06,train,12,360.0,9.0,278.38055791538716,0,0,EU,A,tele,0,0,0,0,d0,0
2024-07,train,12,360.0,9.0,277.8876187923566,0,0,EU,A,tele,0,0,0,0,d0,0
2024-08,train,12,360.0,8.0,242.0088817217249,0,0,EU,A,tele,0,0,0,0,d0,0
2024-09,train,12,360.0,11.0,340.4572725021465,0,0,EU,A,tele,0,0,0,0,d0,0
2024-10,train,12,360.0,9.0,272.2246078389025,0,0,EU,A,tele,0,0,0,0,d0,0
2024-11,train,12,360.0,8.0,249.021253864006,0,0,EU,A,tele,0,0,0,0,d0,0
2024-12,train,12,360.0,11.0,343.74981563130325,0,0,EU,A,tele,0,0,0,0,d0,0
2025-01,train,12,360.0,10.0,303.17168896870777,0,0,EU,A,tele,0,0,0,0,d0,0
2025-02,train,12,360.0,10.0,320.16721672147037,0,0,EU,A,tele,0,0,0,0,d0,0
2025-03,train,12,360.0,8.0,247.05096235689217,0,0,EU,A,tele,0,0,0,0,d0,0
2025-04,train,12,360.0,9.0,288.4043720116946,0,0,EU,A,tele,0,0,0,0,d0,0
2025-05,train,12,360.0,12.0,363.5138903869127,0,0,EU,A,tele,0,0,0,0,d0,0
2025-06,train,12,360.0,10.0,313.9222692572265,0,0,EU,A,tele,0,0,0,0,d0,0
2025-07,train,12,360.0,10.0,306.8712200811534,0,0,EU,A,tele,0,0,0,0,d0,0
2025-08,train,12,360.0,10.0,312.1597606140952,0,0,EU,A,tele,0,0,0,0,d0,0
2025-09,train,12,360.0,10.0,302.53245635473945,0,0,EU,A,tele,0,0,0,0,d0,0
2025-10,train,12,360.0,11.0,333.4500981867126,0,0,EU,A,tele,0,0,0,0,d0,0
2025-11,test,12,360.0,10.0,306.58999108709594,0,0,EU,A,tele,0,0,0,0,d0,0
2025-12,test,12,360.0,10.0,306.6380597285941,0,0,EU,A,tele,0,0,0,0,d0,0
2026-01,test,12,360.0,9.0,277.5935235889287,0,0,EU,A,tele,0,0,0,0,d0,0
2026-02,test,12,360.0,10.0,308.7679597227894,1,0,EU,A,tele,0,0,0,0,d0,0
2026-03,projection,12,360.0,,,0,0,EU,A,tele,0,0,0,0,d0,0
2026-04,projection,12,360.0,,,0,0,EU,A,tele,0,0,0,0,d0,0
2026-05,projection,12,360.0,,,0,0,EU,A,tele,0,0,0,0,d0,0
2026-06,projection,12,360.0,,,0,0,EU,A,tele,0,0,0,0,d0,0
2024-01,train,10,300.0,7.0,215.72464608694528,0,0,EU,B,tele,0,0,0,0,d0,0
2024-02,train,10,300.0,9.0,274.8188451136261,0,0,EU,B,tele,0,0,0,0,d0,0
2024-03,train,10,300.0,8.0,242.1921387304689,0,0,EU,B,tele,0,0,0,0,d0,0
2024-04,train,10,300.0,10.0,310.5000498411597,0,0,EU,B,tele,0,0,0,0,d0,0
2024-05,train,10,300.0,8.0,242.6497941132055,0,0,EU,B,tele,0,0,0,0,d0,0
2024-06,train,10,300.0,8.0,248.32272639940595,0,0,EU,B,tele,0,0,0,0,d0,0
2024-07,train,10,300.0,9.0,278.4624550169131,0,0,EU,B,tele,0,0,0,0,d0,0
2024-08,train,10,300.0,8.0,245.78710267575434,0,0,EU,B,tele,0,0,0,0,d0,0
2024-09,train,10,300.0,7.0,216.93413006880024,0,0,EU,B,tele,0,0,0,0,d0,0
2024-10,train,10,300.0,9.0,276.0825402354161,0,0,EU,B,tele,0,0,0,0,d0,0
2024-11,train,10,300.0,10.0,305.68432917891084,0,0,EU,B,tele,0,0,0,0,d0,0
2024-12,train,10,300.0,8.0,248.33083156325353,0,0,EU,B,tele,0,0,0,0,d0,0
2025-01,train,10,300.0,9.0,275.72829395533404,0,0,EU,B,tele,0,0,0,0,d0,0
2025-02,train,10,300.0,8.0,249.41017602309657,0,0,EU,B,tele,0,0,0,0,d0,0
2025-03,train,10,300.0,7.0,217.90991288821724,0,0,EU,B,tele,0,0,0,0,d0,0
2025-04,train,10,300.0,6.0,187.69340999237883,0,0,EU,B,tele,0,0,0,0,d0,0
2025-05,train,10,300.0,7.0,209.93985497049758,0,0,EU,B,tele,0,0,0,0,d0,0
2025-06,train,10,300.0,9.0,283.5522260624315,0,0,EU,B,tele,0,0,0,0,d0,0
2025-07,train,10,300.0,9.0,283.1897419968313,0,0,EU,B,tele,0,0,0,0,d0,0
2025-08,train,10,300.0,6.0,186.75794665118593,0,0,EU,B,tele,0,0,0,0,d0,0
2025-09,train,10,300.0,7.0,213.63317265202983,0,0,EU,B,tele,0,0,0,0,d0,0
2025-10,train,10,300.0,7.0,217.4381646684942,0,0,EU,B,tele,0,0,0,0,d0,0
2025-11,test,10,300.0,8.0,246.70390360402865,0,0,EU,B,tele,0,0,0,0,d0,0
2025-12,test,10,300.0,6.0,182.89995093294627,0,0,EU,B,tele,0,0,0,0,d0,0
2026-01,test,10,300.0,6.0,185.79685763222628,0,0,EU,B,tele,0,0,0,0,d0,0
2026-02,test,10,300.0,9.0,277.79718679100927,1,0,EU,B,tele,0,0,0,0,d0,0
2026-03,projection,10,300.0,,,0,0,EU,B,tele,0,0,0,0,d0,0
2026-04,projection,10,300.0,,,0,0,EU,B,tele,0,0,0,0,d0,0
2026-05,projection,10,300.0,,,0,0,EU,B,tele,0,0,0,0,d0,0
2026-06,projection,10,300.0,,,0,0,EU,B,tele,0,0,0,0,d0,0
2024-01,train,400,12000.0,362.0,11272.03283234937,0,0,NA,A,web,0,0,0,0,d0,0
2024-01,train,240,7200.0,129.0,3981.832138239654,0,0,NA,B,web,0,0,0,0,d0,0
2024-02,train,391,11730.0,350.0,10689.03000611638,0,0,NA,A,web,0,0,0,0,d0,0
2024-02,train,248,7440.0,122.0,3835.482673893765,0,0,NA,B,web,0,0,0,0,d0,0
2024-03,train,382,11460.0,342.0,10723.09537646484,0,0,NA,A,web,0,0,0,0,d0,0
2024-03,train,257,7710.0,131.0,4101.5153099434065,0,0,NA,B,web,0,0,0,0,d0,0
2024-04,train,373,11190.0,352.0,10942.813270698407,0,0,NA,A,web,0,0,0,0,d0,0
2024-04,train,266,7980.0,148.0,4569.631300721046,0,0,NA,B,web,0,0,0,0,d0,0
2024-05,train,364,10920.0,327.0,10392.588242955639,0,0,NA,A,web,0,0,0,0,d0,0
2024-05,train,275,8250.0,143.0,4486.182191127456,0,0,NA,B,web,0,0,0,0,d0,0
2024-06,train,356,10680.0,327.0,10170.390456335943,0,0,NA,A,web,0,0,0,0,d0,0
2024-06,train,284,8520.0,142.0,4347.292024958792,0,0,NA,B,web,0,0,0,0,d0,0
2024-07,train,347,10410.0,321.0,10130.0734345087,0,0,NA,A,web,0,0,0,0,d0,0
2024-07,train,292,8760.0,151.0,4602.268707590787,0,0,NA,B,web,0,0,0,0,d0,0
